Fullname,First Name,Last Name,Temporary ID,Original Created Date,Address,Country,City,Country City Detection,Country Detection,Email,Phone,Original Industry
Julius Jordan,Julius,Jordan,429475,2021-11-16,"Linden Drive, 4539",Ireland,-,Country,"('Ireland', '-')",julius_jordan888092717@fuliss.net,(+353) 7007320201,;Poultry and fish;Milling
Julius Lambert,Julius,Lambert,444073,2021-11-11,"Bedford  Tunnel, 8753",England,London,City,"('England', 'London')",julius_lambert999600503@muall.tech,(+44) 4566827034,;Poultry and fish;Animal feeds
Julius Lewin,Julius,Lewin,443687,2021-11-15,"Clarges   Rue, 2811",England,Plymouth,City,"('England', 'Plymouth')",julius_lewin1102845526@deavo.com,(+44) 2114453834,;Bakery products;Dairy products
Julius May,Julius,May,444034,2021-12-16,"Blackpool  Lane, 608",Ireland,Dublin,City,"('Ireland', 'Dublin')",julius_may2130017231@jiman.org,(+353) 1174667164,;Poultry and fish;Milling
Julius Owen,Julius,Owen,441265,2021-07-15,"Collins  Tunnel, 7042",England,Plymouth,City,"('England', 'Plymouth')",julius_owen1555154788@liret.org,(+44) 2311436011,;Fruit and vegetables
Julius Pearce,Julius,Pearce,443942,2021-12-16,"Queen Boulevard, 8082",Ireland,Dublin,City,"('Ireland', 'Dublin')",julius_pearce884300571@bretoux.com,(+353) 470075782,;Bakery products;Fruit and vegetables
Julius Robertson,Julius,Robertson,439138,2021-04-25,"Blomfield  Boulevard, 6895",Ireland,Cork,City,"('Ireland', 'Cork')",julius_robertson96909443@bungar.biz,(+353) 8674532361,;Bakery products;Animal feeds;Fruit and vegetables
Julius Thatcher,Julius,Thatcher,443680,2021-12-04,"Blenkarne  Drive, 236",England,Milton Keynes,City,"('England', 'Milton Keynes')",julius_thatcher1948327183@ovock.tech,(+44) 1083414387,;Fruit and vegetables
Julius Vallory,Julius,Vallory,444013,2021-04-03,"Cavendish Pass, 9792",Ireland,Cork,City,"('Ireland', 'Cork')",julius_vallory844097719@joiniaa.com,(+353) 5146534633,;Dairy products;Animal feeds
Julius Vincent,Julius,Vincent,444303,2021-06-15,"Blean   Rue, 4721",England,Milton Keynes,City,"('England', 'Milton Keynes')",julius_vincent741325748@deavo.com,(+44) 8587562705,;Dairy products;Animal feeds
Julius Weasley,Julius,Weasley,460173,2021-09-12,"Charterhouse  Road, 6041",Ireland,Limerick,City,"('Ireland', 'Limerick')",julius_weasley397143705@extex.org,(+353) 210456241,;Dairy products
Julius Wilson,Julius,Wilson,419740,2021-12-20,"Kingly  Grove, 8804",Ireland,Waterford,City,"('Ireland', 'Waterford')",julius_wilson227741033@fuliss.net,(+353) 4574464747,;Dairy products;Animal feeds
Julius Wood,Julius,Wood,442824,2021-12-22,"Cadogan  Alley, 4655",England,London,City,"('England', 'London')",julius_wood189353480@gembat.biz,(+44) 3252847628,;Dairy products;Poultry and fish
Julius Young,Julius,Young,444611,2021-11-05,"East Boulevard, 9778",England,Plymouth,City,"('England', 'Plymouth')",julius_young2134699488@nanoff.biz,(+44) 1734555747,;Animal feeds;Fruit and vegetables
Kamila Greenwood,Kamila,Greenwood,441794,2021-12-19,"South Lane, 2883",Ireland,Waterford,City,"('Ireland', 'Waterford')",kamila_greenwood1488007758@muall.tech,(+353) 3540280400,;Bakery products;Dairy products
Kamila Tyler,Kamila,Tyler,425841,2021-10-30,"Ellerman   Lane, 6195",Ireland,Limerick,City,"('Ireland', 'Limerick')",kamila_tyler263958354@hourpy.biz,(+353) 783421063,;Bakery products;Animal feeds
Karen Booth,Karen,Booth,438373,2021-12-25,"Magnolia Boulevard, 1355",Ireland,Cork,City,"('Ireland', 'Cork')",karen_booth1832764660@bretoux.com,(+353) 7042487637,;Poultry and fish;Milling
Karen Carpenter,Karen,Carpenter,462851,2021-04-24,"Meadow Road, 7358",Ireland,Limerick,City,"('Ireland', 'Limerick')",karen_carpenter1568107511@irrepsy.com,(+353) 5754357156,;Milling
Karen Carter,Karen,Carter,445004,2021-09-07,"Paris   Avenue, 774",Ireland,-,Country,"('Ireland', '-')",karen_carter513592005@guentu.biz,(+353) 2326004538,;Dairy products;Fruit and vegetables
Karen Griffiths,Karen,Griffiths,441270,2021-05-04,"Monroe Lane, 6787",Ireland,Waterford,City,"('Ireland', 'Waterford')",karen_griffiths2026217488@bauros.biz,(+353) 1870704158,;Dairy products;Animal feeds
Karla Kelly,Karla,Kelly,443840,2021-11-13,"Blackheath  Way, 5985",England,-,Country,"('England', '-')",karla_kelly1771585709@womeona.net,(+44) 5343167670,;Bakery products;Milling
Karla Malone,Karla,Malone,454592,2021-07-21,"Cave   Avenue, 5789",Ireland,Waterford,City,"('Ireland', 'Waterford')",karla_malone670877654@irrepsy.com,(+353) 7087387685,;Poultry and fish
Kassandra Pond,Kassandra,Pond,443685,2021-10-01,"Fairholt   Hill, 428",Ireland,Cork,City,"('Ireland', 'Cork')",kassandra_pond838043085@supunk.biz,(+353) 4038348833,;Poultry and fish
Kassandra Powell,Kassandra,Powell,462224,2021-09-12,"Lincoln Hill, 4716",England,Winchester,City,"('England', 'Winchester')",kassandra_powell155033352@gembat.biz,(+44) 3120462704,;Fruit and vegetables
Katelyn Allen,Katelyn,Allen,442348,2021-11-01,"Beaumont  Hill, 6529",England,Milton Keynes,City,"('England', 'Milton Keynes')",katelyn_allen1816286809@hourpy.biz,(+44) 6757583028,;Dairy products;Animal feeds
Kaylee Buckley,Kaylee,Buckley,454997,2021-03-14,"Central  Avenue, 8518",Ireland,Limerick,City,"('Ireland', 'Limerick')",kaylee_buckley1565289574@muall.tech,(+353) 1378207026,;Animal feeds
Kaylee Varley,Kaylee,Varley,441262,2021-09-27,"Blomfield  Way, 4771",England,Milton Keynes,City,"('England', 'Milton Keynes')",kaylee_varley564357549@kideod.biz,(+44) 3513143181,;Poultry and fish;Animal feeds
Kaylee Verdon,Kaylee,Verdon,463851,2021-08-06,"Aspen Boulevard, 5572",England,-,Country,"('England', '-')",kaylee_verdon1807110786@twace.org,(+44) 1680113372,;Fruit and vegetables
Keira Dobson,Keira,Dobson,462770,2021-11-23,"Black Swan  Alley, 8981",England,Plymouth,City,"('England', 'Plymouth')",keira_dobson57717043@famism.biz,(+44) 5782642782,;Milling
Keira Parker,Keira,Parker,454623,2021-10-25,"St. Pauls  Tunnel, 4599",Ireland,Limerick,City,"('Ireland', 'Limerick')",keira_parker1646498082@irrepsy.com,(+353) 3115565832,;Dairy products
Keira Verdon,Keira,Verdon,454590,2021-09-01,"Bendmore  Lane, 6444",Ireland,-,Country,"('Ireland', '-')",keira_verdon1042529279@nickia.com,(+353) 3120864440,;Fruit and vegetables
Kendra Hobbs,Kendra,Hobbs,444625,2021-08-14,"Union  Drive, 2593",Ireland,Waterford,City,"('Ireland', 'Waterford')",kendra_hobbs276875392@typill.biz,(+353) 814371082,;Fruit and vegetables
Kendra King,Kendra,King,442074,2021-06-08,"Geffrye   Alley, 3758",England,Oxford,City,"('England', 'Oxford')",kendra_king353975850@typill.biz,(+44) 2226516036,;Fruit and vegetables;Milling
Kenzie Douglas,Kenzie,Douglas,460846,2021-03-11,"Argyle  Alley, 3319",England,Milton Keynes,City,"('England', 'Milton Keynes')",kenzie_douglas1115464039@guentu.biz,(+44) 4817712473,;Milling
Kenzie Ogilvy,Kenzie,Ogilvy,442340,2021-07-11,"Camelot   Drive, 4046",England,Plymouth,City,"('England', 'Plymouth')",kenzie_ogilvy1072278970@guentu.biz,(+44) 4043783781,;Meat;Animal feeds
Kenzie Stewart,Kenzie,Stewart,442071,2021-02-12,"Heritage Drive, 634",England,-,Country,"('England', '-')",kenzie_stewart1008201683@yahoo.com,(+44) 3071252080,;Animal feeds;Milling
Kieth Bolton,Kieth,Bolton,443653,2021-05-06,"Pine Vale, 9304",England,London,City,"('England', 'London')",kieth_bolton191095754@fuliss.net,(+44) 8252000665,;Meat;Poultry and fish
Kieth Clark,Kieth,Clark,462404,2021-08-06,"English   Route, 5772",England,Plymouth,City,"('England', 'Plymouth')",kieth_clark2069437263@vetan.org,(+44) 7216836610,;Dairy products
Kieth Coleman,Kieth,Coleman,429397,2021-08-18,"Coborn  Tunnel, 620",England,Plymouth,City,"('England', 'Plymouth')",kieth_coleman508508357@tonsy.org,(+44) 8065050606,;Poultry and fish;Fruit and vegetables
Kieth Crawley,Kieth,Crawley,440135,2021-11-05,"Beaumont  Lane, 774",England,London,City,"('England', 'London')",kieth_crawley1438718227@acrit.org,(+44) 8558343436,;Dairy products;Meat
Kieth Farmer,Kieth,Farmer,439129,2021-11-02,"Union  Boulevard, 4276",Ireland,-,Country,"('Ireland', '-')",kieth_farmer1346152408@twipet.com,(+353) 1841834532,;Poultry and fish;Animal feeds
Kieth Kelly,Kieth,Kelly,443957,2021-07-30,"Beatty  Crossroad, 4783",Ireland,Cork,City,"('Ireland', 'Cork')",kieth_kelly1816121189@jiman.org,(+353) 5567142210,;Poultry and fish
Kieth Neville,Kieth,Neville,444302,2021-06-30,"Dunsley  Alley, 6980",Ireland,-,Country,"('Ireland', '-')",kieth_neville2009012520@grannar.com,(+353) 1726873544,;Dairy products;Poultry and fish
Kieth Partridge,Kieth,Partridge,445003,2021-09-05,"Cingworth  Lane, 8449",England,Winchester,City,"('England', 'Winchester')",kieth_partridge341628815@extex.org,(+44) 6617526128,;Bakery products;Poultry and fish
Kieth Rixon,Kieth,Rixon,439130,2021-04-01,"St. Johs  Hill, 3541",Ireland,Limerick,City,"('Ireland', 'Limerick')",kieth_rixon1037233196@zorer.org,(+353) 5558306178,;Meat;Animal feeds
Kieth Robinson,Kieth,Robinson,442065,2021-06-10,"Hickory   Drive, 3925",England,Winchester,City,"('England', 'Winchester')",kieth_robinson284458984@elnee.tech,(+44) 670351636,;Dairy products;Fruit and vegetables
Kieth Snow,Kieth,Snow,443658,2021-09-05,"Thomas Doyle   Street, 5187",Ireland,Cork,City,"('Ireland', 'Cork')",kieth_snow1793700634@gmail.com,(+353) 8825501381,;Meat;Dairy products
Kieth Watt,Kieth,Watt,444412,2021-11-04,"Bloomsbury  Walk, 5289",Ireland,-,Country,"('Ireland', '-')",kieth_watt762176766@supunk.biz,(+353) 3776128883,;Meat;Fruit and vegetables
Kieth Wilton,Kieth,Wilton,423739,2021-05-10,"Callcott   Grove, 3735",Ireland,Cork,City,"('Ireland', 'Cork')",kieth_wilton1385488046@tonsy.org,(+353) 1252660678,;Bakery products;Meat
Kieth Wright,Kieth,Wright,443911,2021-12-19,"Belfort  Grove, 2571",Ireland,Limerick,City,"('Ireland', 'Limerick')",kieth_wright553947283@grannar.com,(+353) 5817673337,;Meat;Fruit and vegetables
Kimberly Vallory,Kimberly,Vallory,444209,2021-08-23,"Cam  Road, 129",Ireland,Cork,City,"('Ireland', 'Cork')",kimberly_vallory1129438379@guentu.biz,(+353) 8488632444,;Bakery products;Dairy products
Kimberly Watt,Kimberly,Watt,456908,2021-12-29,"Cadogan  Boulevard, 4407",Ireland,Waterford,City,"('Ireland', 'Waterford')",kimberly_watt1627548255@acrit.org,(+353) 3424555886,;Dairy products
Kimberly Weston,Kimberly,Weston,442069,2021-08-01,"Coborn  Hill, 7790",England,-,Country,"('England', '-')",kimberly_weston962709610@dionrab.com,(+44) 5650488378,;Dairy products;Animal feeds
Kirsten Rowlands,Kirsten,Rowlands,444321,2021-06-27,"Calderwood   Crossroad, 1377",Ireland,Waterford,City,"('Ireland', 'Waterford')",kirsten_rowlands2057018930@nanoff.biz,(+353) 1041814740,;Meat
Kirsten Russell,Kirsten,Russell,443834,2021-01-10,"Central  Drive, 7625",Ireland,Waterford,City,"('Ireland', 'Waterford')",kirsten_russell1051918113@naiker.biz,(+353) 6360774324,;Animal feeds;Fruit and vegetables
Kirsten Wills,Kirsten,Wills,444415,2021-09-26,"Bicknell  Rue, 7321",England,London,City,"('England', 'London')",kirsten_wills194372127@joiniaa.com,(+44) 5767274545,;Bakery products;Dairy products;Animal feeds
Kirsten Wright,Kirsten,Wright,441277,2021-03-04,"Charterhouse  Way, 9813",Ireland,-,Country,"('Ireland', '-')",kirsten_wright1629055155@gembat.biz,(+353) 3254571005,;Poultry and fish;Fruit and vegetables
Kurt Andrews,Kurt,Andrews,444027,2021-08-26,"Dutton   Rue, 331",Ireland,-,Country,"('Ireland', '-')",kurt_andrews1014627104@yahoo.com,(+353) 8267822542,;Bakery products;Fruit and vegetables
Kurt Evans,Kurt,Evans,441388,2021-06-30,"Woodland Pass, 5605",England,Plymouth,City,"('England', 'Plymouth')",kurt_evans1033118929@acrit.org,(+44) 2541230026,;Poultry and fish;Milling
Kurt Farmer,Kurt,Farmer,443841,2021-06-01,"Bel   Drive, 5005",England,Oxford,City,"('England', 'Oxford')",kurt_farmer895249893@liret.org,(+44) 6218171124,;Meat;Poultry and fish
Kurt Farrell,Kurt,Farrell,444620,2021-05-22,"Chartham  Avenue, 584",Ireland,Waterford,City,"('Ireland', 'Waterford')",kurt_farrell399872519@womeona.net,(+353) 2603660138,;Animal feeds;Milling
Kurt Flanders,Kurt,Flanders,419187,2021-09-06,"Cecilia  Vale, 4515",England,London,City,"('England', 'London')",kurt_flanders172466857@tonsy.org,(+44) 8340514781,;Dairy products;Poultry and fish
Kurt Lane,Kurt,Lane,433942,2021-09-08,"Belgrave  Grove, 452",Ireland,Dublin,City,"('Ireland', 'Dublin')",kurt_lane286581512@ubusive.com,(+353) 8005614752,;Meat;Dairy products
Kurt May,Kurt,May,444304,2021-11-15,"Babmaes    Street, 7655",England,Plymouth,City,"('England', 'Plymouth')",kurt_may2011926004@sheye.org,(+44) 8021077727,;Bakery products;Dairy products;Fruit and vegetables;Milling
Kurt Morris,Kurt,Morris,434158,2021-07-29,"Chapel  Route, 2021",Ireland,Cork,City,"('Ireland', 'Cork')",kurt_morris1563589967@mafthy.com,(+353) 1221830141,;Meat
Kurt Robinson,Kurt,Robinson,459029,2021-07-05,"College  Vale, 8202",Ireland,Limerick,City,"('Ireland', 'Limerick')",kurt_robinson1068093337@deons.tech,(+353) 3633625346,;Dairy products
Kurt Rodwell,Kurt,Rodwell,444413,2021-09-09,"Collins  Alley, 8589",Ireland,-,Country,"('Ireland', '-')",kurt_rodwell145366705@jiman.org,(+353) 8058424213,;Poultry and fish
Kurt Russel,Kurt,Russel,433932,2021-07-22,"Abourne   Crossroad, 7048",Ireland,Cork,City,"('Ireland', 'Cork')",kurt_russel59426088@extex.org,(+353) 2730475315,;Meat;Poultry and fish
Kurt Stewart,Kurt,Stewart,421338,2021-09-03,"Ampton  Avenue, 8345",England,Oxford,City,"('England', 'Oxford')",kurt_stewart97081422@hourpy.biz,(+44) 307105166,;Dairy products;Animal feeds;Milling
Kurt Villiger,Kurt,Villiger,442316,2021-09-27,"Bendall   Alley, 6125",Ireland,-,Country,"('Ireland', '-')",kurt_villiger1022370941@deons.tech,(+353) 1873160836,;Bakery products;Fruit and vegetables
Kurt Vincent,Kurt,Vincent,439136,2021-05-15,"Clifton  Route, 7334",Ireland,-,Country,"('Ireland', '-')",kurt_vincent1299043767@twipet.com,(+353) 1564627440,;Meat;Poultry and fish
Kurt Warner,Kurt,Warner,445160,2021-11-11,"Carolina  Route, 2873",Ireland,-,Country,"('Ireland', '-')",kurt_warner1679551248@elnee.tech,(+353) 104631564,;Dairy products;Poultry and fish
Laila Crawley,Laila,Crawley,420706,2021-12-10,"Arlington  Hill, 2911",England,Winchester,City,"('England', 'Winchester')",laila_crawley1849085681@naiker.biz,(+44) 1685710681,;Animal feeds;Milling
Laila May,Laila,May,462801,2021-07-27,"Ashley Rue, 1223",Ireland,Limerick,City,"('Ireland', 'Limerick')",laila_may1587175187@bauros.biz,(+353) 4646382221,;Poultry and fish
Laila Myatt,Laila,Myatt,457946,2021-10-23,"Fieldstone Boulevard, 9817",England,London,City,"('England', 'London')",laila_myatt196597378@infotech44.tech,(+44) 3665445184,;Fruit and vegetables
Lana Mcgee,Lana,Mcgee,460864,2021-11-14,"Apothecary   Crossroad, 1841",England,Plymouth,City,"('England', 'Plymouth')",lana_mcgee1036394914@tonsy.org,(+44) 7805758883,;Milling
Lana Roberts,Lana,Roberts,413232,2021-12-03,"Aberavon  Drive, 2329",Ireland,Waterford,City,"('Ireland', 'Waterford')",lana_roberts348693296@naiker.biz,(+353) 4311522135,;Bakery products;Dairy products
Lana Wright,Lana,Wright,421345,2021-10-19,"Geffrye   Grove, 9330",Ireland,Dublin,City,"('Ireland', 'Dublin')",lana_wright937614695@liret.org,(+353) 2877287874,;Dairy products
Lara Casey,Lara,Casey,462223,2021-01-19,"Apostle  Rue, 4842",England,Plymouth,City,"('England', 'Plymouth')",lara_casey686163944@gembat.biz,(+44) 8875821861,;Meat
Lara Fulton,Lara,Fulton,423743,2021-04-24,"Sundown Way, 2106",Ireland,Waterford,City,"('Ireland', 'Waterford')",lara_fulton723784818@sveldo.biz,(+353) 4663761188,;Fruit and vegetables;Milling
Lara Knight,Lara,Knight,441790,2021-09-01,"Blue Anchor  Hill, 7284",England,Milton Keynes,City,"('England', 'Milton Keynes')",lara_knight631878230@bauros.biz,(+44) 7325424767,;Animal feeds;Milling
Lara Rixon,Lara,Rixon,459693,2021-10-07,"Wager   Lane, 4020",England,Oxford,City,"('England', 'Oxford')",lara_rixon962702093@bungar.biz,(+44) 2507303811,;Dairy products
Lara Shepherd,Lara,Shepherd,457926,2021-02-08,"Gatonby   Alley, 3296",Ireland,Limerick,City,"('Ireland', 'Limerick')",lara_shepherd1933970335@bauros.biz,(+353) 450637875,;Animal feeds
Lara Stewart,Lara,Stewart,418361,2021-09-27,"Liverpool  Boulevard, 4388",England,Oxford,City,"('England', 'Oxford')",lara_stewart42623300@typill.biz,(+44) 152750018,;Animal feeds;Milling
Lara Warner,Lara,Warner,438383,2021-07-21,"Kingly  Pass, 4012",Ireland,-,Country,"('Ireland', '-')",lara_warner980135695@extex.org,(+353) 5104265808,;Meat;Poultry and fish
Lauren Collins,Lauren,Collins,451198,2021-10-10,"Clerkenwell Tunnel, 1241",England,London,City,"('England', 'London')",lauren_collins1813283268@sheye.org,(+44) 6786683811,;Animal feeds
Lauren Ellison,Lauren,Ellison,429131,2021-12-31,"Lonsdale  Route, 3487",England,London,City,"('England', 'London')",lauren_ellison247694015@womeona.net,(+44) 4681511025,;Meat;Fruit and vegetables
Lauren Khan,Lauren,Khan,444001,2021-10-31,"Falconberg   Pass, 4788",Ireland,Cork,City,"('Ireland', 'Cork')",lauren_khan664246197@dionrab.com,(+353) 8345422808,;Bakery products;Poultry and fish
Lauren Walker,Lauren,Walker,461107,2021-06-21,"Bishop   Avenue, 7293",Ireland,-,Country,"('Ireland', '-')",lauren_walker841683232@corti.com,(+353) 7088383577,;Meat
Leah Collins,Leah,Collins,429391,2021-12-06,"Oxford Vale, 8186",England,London,City,"('England', 'London')",leah_collins550524090@tonsy.org,(+44) 276008071,;Dairy products
Leah Gardner,Leah,Gardner,444951,2021-06-26,"Carlton  Walk, 1134",England,Oxford,City,"('England', 'Oxford')",leah_gardner685530010@deons.tech,(+44) 857386747,;Fruit and vegetables
Leah Stanton,Leah,Stanton,442338,2021-03-20,"Jackson Alley, 5839",England,Oxford,City,"('England', 'Oxford')",leah_stanton220936413@muall.tech,(+44) 4707855323,;Bakery products;Fruit and vegetables
Leah Weatcroft,Leah,Weatcroft,457936,2021-08-23,"Lexington Vale, 9466",Ireland,Cork,City,"('Ireland', 'Cork')",leah_weatcroft735001362@iatim.tech,(+353) 5240348617,;Milling
Leah Wilcox,Leah,Wilcox,459657,2021-11-30,"Dyott   Hill, 517",England,-,Country,"('England', '-')",leah_wilcox413543703@fuliss.net,(+44) 5560652024,;Poultry and fish
Leanne Chapman,Leanne,Chapman,457912,2021-05-03,"Lincoln Drive, 221",Ireland,Cork,City,"('Ireland', 'Cork')",leanne_chapman406078732@naiker.biz,(+353) 7360413470,;Meat
Leanne Stevens,Leanne,Stevens,443682,2021-12-04,"Billing  Walk, 4243",Ireland,Dublin,City,"('Ireland', 'Dublin')",leanne_stevens1075628596@guentu.biz,(+353) 7852607401,;Dairy products;Milling
Leanne Weldon,Leanne,Weldon,455000,2021-03-12,"Canal  Drive, 9724",Ireland,Limerick,City,"('Ireland', 'Limerick')",leanne_weldon1581894268@famism.biz,(+353) 547652235,;Animal feeds
Leilani Hall,Leilani,Hall,444605,2021-03-18,"Carlton  Route, 5240",Ireland,Waterford,City,"('Ireland', 'Waterford')",leilani_hall269598636@nimogy.biz,(+353) 4507416226,;Bakery products;Dairy products
Leilani Simmons,Leilani,Simmons,454977,2021-03-07,"Dunstans  Hill, 6750",Ireland,Dublin,City,"('Ireland', 'Dublin')",leilani_simmons47506130@acrit.org,(+353) 1075131244,;Dairy products
Leilani Simpson,Leilani,Simpson,443918,2021-10-14,"Bacton   Vale, 5755",Ireland,Waterford,City,"('Ireland', 'Waterford')",leilani_simpson1692767973@ubusive.com,(+353) 5365852857,;Meat
Leroy Attwood,Leroy,Attwood,444622,2021-12-08,"Betton  Crossroad, 1691",England,Milton Keynes,City,"('England', 'Milton Keynes')",leroy_attwood1275199479@qater.org,(+44) 1732052341,;Bakery products;Dairy products
Leroy Bell,Leroy,Bell,441787,2021-03-29,"Baltic  Tunnel, 9555",Ireland,Dublin,City,"('Ireland', 'Dublin')",leroy_bell1848608671@qater.org,(+353) 537274281,;Animal feeds;Fruit and vegetables
Leroy Blackburn,Leroy,Blackburn,418319,2021-11-19,"Rivervalley Drive, 6329",England,London,City,"('England', 'London')",leroy_blackburn912735484@twipet.com,(+44) 4033536573,;Animal feeds;Fruit and vegetables
Leroy Burnley,Leroy,Burnley,443179,2021-08-30,"Bond Tunnel, 428",England,Oxford,City,"('England', 'Oxford')",leroy_burnley1158251084@womeona.net,(+44) 6467006551,;Dairy products;Poultry and fish
Leroy Daniells,Leroy,Daniells,414693,2021-09-30,"Fieldstone Pass, 5046",Ireland,-,Country,"('Ireland', '-')",leroy_daniells21759361@liret.org,(+353) 4734124781,;Fruit and vegetables;Milling
Leroy Donnelly,Leroy,Donnelly,445602,2021-10-08,"St. Jamess  Grove, 1353",England,Winchester,City,"('England', 'Winchester')",leroy_donnelly1063379488@deavo.com,(+44) 1308887700,;Bakery products;Dairy products;Fruit and vegetables
Leroy Dwyer,Leroy,Dwyer,462005,2021-12-28,"Black Friars   Tunnel, 5682",N,o,No Information - Empty,No Information - Empty,No email found,No Phone Number Found,;Bakery products;Animal feeds;Milling
Leroy Farrow,Leroy,Farrow,443825,2021-02-09,"Cleveland  Road, 4459",Ireland,Limerick,City,"('Ireland', 'Limerick')",leroy_farrow904380252@ubusive.com,(+353) 8441860808,;Poultry and fish;Fruit and vegetables
Leroy Fox,Leroy,Fox,442327,2021-06-09,"Cephas  Crossroad, 2314",Ireland,Waterford,City,"('Ireland', 'Waterford')",leroy_fox904035630@muall.tech,(+353) 2222854078,;Dairy products;Animal feeds;Fruit and vegetables
Leroy Garcia,Leroy,Garcia,447143,2021-09-01,"Timothy  Grove, 9540",England,Oxford,City,"('England', 'Oxford')",leroy_garcia1624080928@naiker.biz,(+44) 7471827620,;Fruit and vegetables
Leroy Griffiths,Leroy,Griffiths,439143,2021-07-31,"Arline    Hill, 356",England,Oxford,City,"('England', 'Oxford')",leroy_griffiths560183718@elnee.tech,(+44) 273443754,;Dairy products;Poultry and fish
Leroy Harris,Leroy,Harris,442339,2021-12-13,"Paris   Street, 2550",England,Plymouth,City,"('England', 'Plymouth')",leroy_harris84853752@bulaffy.com,(+44) 7771717555,;Animal feeds;Fruit and vegetables
Leroy Lane,Leroy,Lane,433939,2021-06-04,"Endsleigh  Avenue, 2552",England,Plymouth,City,"('England', 'Plymouth')",leroy_lane513127547@gembat.biz,(+44) 122657514,;Dairy products;Poultry and fish
Leroy Locke,Leroy,Locke,443160,2021-10-16,"Castile  Pass, 8892",Ireland,Dublin,City,"('Ireland', 'Dublin')",leroy_locke93850779@cispeto.com,(+353) 5636607617,;Dairy products;Meat;Poultry and fish
Leroy Mcgee,Leroy,Mcgee,444411,2021-10-12,"Elizabeth  Tunnel, 6462",Ireland,-,Country,"('Ireland', '-')",leroy_mcgee727229595@bungar.biz,(+353) 5603465602,;Fruit and vegetables
Leroy Morrow,Leroy,Morrow,414483,2021-12-10,"Buttonwood Rue, 6534",Ireland,Cork,City,"('Ireland', 'Cork')",leroy_morrow1641088918@elnee.tech,(+353) 4181554783,;Animal feeds;Milling
Leroy Murray,Leroy,Murray,443669,2021-12-31,"Jackson Hill, 9011",Ireland,Dublin,City,"('Ireland', 'Dublin')",leroy_murray766166302@bretoux.com,(+353) 3616656360,;Animal feeds;Milling
Leroy Phillips,Leroy,Phillips,440138,2021-10-15,"Clarks  Pass, 8043",Ireland,Cork,City,"('Ireland', 'Cork')",leroy_phillips1536098166@womeona.net,(+353) 6510386835,;Bakery products;Meat
Leroy Rigg,Leroy,Rigg,461503,2021-01-13,"Chambers  Hill, 1462",England,Oxford,City,"('England', 'Oxford')",leroy_rigg1163370860@liret.org,(+44) 6835315660,;Poultry and fish
Leroy Rose,Leroy,Rose,415295,2021-09-25,"Clavell   Route, 8286",Ireland,-,Country,"('Ireland', '-')",leroy_rose1323585188@bungar.biz,(+353) 8116722812,;Dairy products;Animal feeds
Leroy Ross,Leroy,Ross,441134,2021-06-21,"South Grove, 5125",England,London,City,"('England', 'London')",leroy_ross726378826@typill.biz,(+44) 5773875002,;Poultry and fish;Milling
Leroy Rowe,Leroy,Rowe,442315,2021-10-15,"Epworth  Alley, 6589",England,Plymouth,City,"('England', 'Plymouth')",leroy_rowe572000747@atink.com,(+44) 7618816707,;Fruit and vegetables;Milling
Leroy Shaw,Leroy,Shaw,444076,2021-04-11,"Cliff  Grove, 7743",England,Oxford,City,"('England', 'Oxford')",leroy_shaw628682100@twace.org,(+44) 6634046846,;Poultry and fish
Leroy Simpson,Leroy,Simpson,420732,2021-07-30,"Pine Way, 3099",Ireland,Cork,City,"('Ireland', 'Cork')",leroy_simpson312612533@hourpy.biz,(+353) 7567741223,;Bakery products;Milling
Leroy Uddin,Leroy,Uddin,425837,2021-11-08,"Under  Hill, 6178",England,Milton Keynes,City,"('England', 'Milton Keynes')",leroy_uddin373632366@irrepsy.com,(+44) 1216705782,;Dairy products;Fruit and vegetables
Leroy Vollans,Leroy,Vollans,423999,2021-12-18,"Baltic  Walk, 2963",England,London,City,"('England', 'London')",leroy_vollans1258785693@tonsy.org,(+44) 7373334833,;Dairy products;Meat
Leroy Williams,Leroy,Williams,416043,2021-08-23,"Jackson Lane, 8828",England,-,Country,"('England', '-')",leroy_williams1800033455@ubusive.com,(+44) 6250271747,;Bakery products;Milling
Leslie Collins,Leslie,Collins,433937,2021-07-03,"Church Drive, 3234",Ireland,Dublin,City,"('Ireland', 'Dublin')",leslie_collins65573628@yahoo.com,(+353) 3267127285,;Meat;Milling
Leslie Phillips,Leslie,Phillips,444608,2021-05-21,"Caldwell   Route, 1236",Ireland,Cork,City,"('Ireland', 'Cork')",leslie_phillips1690356883@eirey.tech,(+353) 1483677103,;Bakery products;Milling
Lexi Dunbar,Lexi,Dunbar,462758,2021-11-12,"Ben   Walk, 1866",Ireland,Limerick,City,"('Ireland', 'Limerick')",lexi_dunbar722128966@sveldo.biz,(+353) 222686721,;Dairy products
Lexi King,Lexi,King,421307,2021-10-24,"Emily  Route, 2718",Ireland,-,Country,"('Ireland', '-')",lexi_king1953531288@muall.tech,(+353) 4736225031,;Dairy products;Fruit and vegetables
Liam Baker,Liam,Baker,443932,2021-11-19,"Clarges   Road, 6403",England,Oxford,City,"('England', 'Oxford')",liam_baker1410673380@extex.org,(+44) 3687400787,;Meat
Liam Baldwin,Liam,Baldwin,443811,2021-10-26,"Heritage Route, 5011",England,Milton Keynes,City,"('England', 'Milton Keynes')",liam_baldwin1284937033@acrit.org,(+44) 3801077858,;Milling
